modelo,accuracy,kappa,f1_macro,f1_weighted,f1_dict,precision_dict,recall_dict,roc_auc,mc,classification_report
RF,0.8775844421699078,0.6378475881135093,0.8186359967715899,0.8741978169405612,"{'<=50K': np.float64(0.9220338983050848), '>50K': np.float64(0.7152380952380952)}","{'<=50K': np.float64(0.9031928480204342), '>50K': np.float64(0.7742268041237114)}","{'<=50K': np.float64(0.9416777629826898), '>50K': np.float64(0.6646017699115044)}",0.9249398442195068,"[[3536, 219], [379, 751]]","{'<=50K': {'precision': 0.9031928480204342, 'recall': 0.9416777629826898, 'f1-score': 0.9220338983050848, 'support': 3755.0}, '>50K': {'precision': 0.7742268041237114, 'recall': 0.6646017699115044, 'f1-score': 0.7152380952380952, 'support': 1130.0}, 'accuracy': 0.8775844421699078, 'macro avg': {'precision': 0.8387098260720728, 'recall': 0.8031397664470972, 'f1-score': 0.8186359967715899, 'support': 4885.0}, 'weighted avg': {'precision': 0.8733603752254911, 'recall': 0.8775844421699078, 'f1-score': 0.8741978169405612, 'support': 4885.0}}"
ANN,0.8650972364380758,0.5986854366450898,0.7989501137926311,0.8609187779412006,"{'<=50K': np.float64(0.9142708468843502), '>50K': np.float64(0.6836293807009122)}","{'<=50K': np.float64(0.8936927772126144), '>50K': np.float64(0.7471143756558237)}","{'<=50K': np.float64(0.9358189081225033), '>50K': np.float64(0.6300884955752213)}",0.9115647573147307,"[[3514, 241], [418, 712]]","{'<=50K': {'precision': 0.8936927772126144, 'recall': 0.9358189081225033, 'f1-score': 0.9142708468843502, 'support': 3755.0}, '>50K': {'precision': 0.7471143756558237, 'recall': 0.6300884955752213, 'f1-score': 0.6836293807009122, 'support': 1130.0}, 'accuracy': 0.8650972364380758, 'macro avg': {'precision': 0.820403576434219, 'recall': 0.7829537018488624, 'f1-score': 0.7989501137926311, 'support': 4885.0}, 'weighted avg': {'precision': 0.8597862073540322, 'recall': 0.8650972364380758, 'f1-score': 0.8609187779412006, 'support': 4885.0}}"
SVM,0.8544524053224155,0.5661669326155316,0.7826288315804105,0.8497715954952122,"{'<=50K': np.float64(0.9075783179513843), '>50K': np.float64(0.6576793452094367)}","{'<=50K': np.float64(0.8864906043676993), '>50K': np.float64(0.7212249208025343)}","{'<=50K': np.float64(0.929693741677763), '>50K': np.float64(0.6044247787610619)}",0.8943741088578061,"[[3491, 264], [447, 683]]","{'<=50K': {'precision': 0.8864906043676993, 'recall': 0.929693741677763, 'f1-score': 0.9075783179513843, 'support': 3755.0}, '>50K': {'precision': 0.7212249208025343, 'recall': 0.6044247787610619, 'f1-score': 0.6576793452094367, 'support': 1130.0}, 'accuracy': 0.8544524053224155, 'macro avg': {'precision': 0.8038577625851169, 'recall': 0.7670592602194124, 'f1-score': 0.7826288315804105, 'support': 4885.0}, 'weighted avg': {'precision': 0.8482612855491454, 'recall': 0.8544524053224155, 'f1-score': 0.8497715954952122, 'support': 4885.0}}"
KNN,0.8372569089048106,0.5312055817266053,0.7655188815693068,0.8352125609755605,"{'<=50K': np.float64(0.8952155001977066), '>50K': np.float64(0.635822262940907)}","{'<=50K': np.float64(0.8862212943632568), '>50K': np.float64(0.6590693257359924)}","{'<=50K': np.float64(0.9043941411451398), '>50K': np.float64(0.6141592920353982)}",0.8684355961962222,"[[3396, 359], [436, 694]]","{'<=50K': {'precision': 0.8862212943632568, 'recall': 0.9043941411451398, 'f1-score': 0.8952155001977066, 'support': 3755.0}, '>50K': {'precision': 0.6590693257359924, 'recall': 0.6141592920353982, 'f1-score': 0.635822262940907, 'support': 1130.0}, 'accuracy': 0.8372569089048106, 'macro avg': {'precision': 0.7726453100496247, 'recall': 0.759276716590269, 'f1-score': 0.7655188815693068, 'support': 4885.0}, 'weighted avg': {'precision': 0.8336764172805938, 'recall': 0.8372569089048106, 'f1-score': 0.8352125609755605, 'support': 4885.0}}"
NB,0.7535312180143295,0.45812484740718906,0.7185124733326902,0.7718637239358844,"{'<=50K': np.float64(0.8177966101694916), '>50K': np.float64(0.6192283364958887)}","{'<=50K': np.float64(0.9470732562215212), '>50K': np.float64(0.48179133858267714)}","{'<=50K': np.float64(0.7195739014647137), '>50K': np.float64(0.8663716814159292)}",0.8826595807360099,"[[2702, 1053], [151, 979]]","{'<=50K': {'precision': 0.9470732562215212, 'recall': 0.7195739014647137, 'f1-score': 0.8177966101694916, 'support': 3755.0}, '>50K': {'precision': 0.48179133858267714, 'recall': 0.8663716814159292, 'f1-score': 0.6192283364958887, 'support': 1130.0}, 'accuracy': 0.7535312180143295, 'macro avg': {'precision': 0.7144322974020991, 'recall': 0.7929727914403215, 'f1-score': 0.7185124733326902, 'support': 4885.0}, 'weighted avg': {'precision': 0.8394440715885848, 'recall': 0.7535312180143295, 'f1-score': 0.7718637239358844, 'support': 4885.0}}"
